onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	834	17
16.0	0.5	1	1	1	1	1187	2
23.0	0.5	3	1	-1	0	0	22
33.0	0.5	6	2	2	1	719	17
41.0	0.5	3	1	1	1	863	25
49.0	0.5	3	1	1	1	787	26
61.0	0.5	6	2	1	0	1021	22
68.099999999999994	0.5	1	1	1	1	785	1
76.0	0.5	3	2	-1	0	0	24
88.0	0.5	2	1	-1	0	0	9
93.0	0.5	4	2	2	1	833	2
100.0	0.5	6	2	2	1	1077	25
108.0	0.5	3	1	1	1	897	32
114.0	0.5	6	2	2	1	1049	26
123.0	0.5	2	1	-1	0	0	10
129.0	0.5	6	2	2	1	1051	32
135.0	0.5	4	2	2	1	964	1
143.0	0.5	1	1	1	1	1069	4
154.0	0.5	3	1	-1	0	0	23
160.0	0.5	6	2	2	1	818	24
166.0	0.5	3	1	-1	0	0	21
177.09999999999999	0.5	5	2	2	1	968	9
182.09999999999999	0.5	2	1	1	1	1209	13
193.0	0.5	3	1	1	1	1106	27
201.09999999999999	0.5	1	1	-1	0	0	7
206.0	0.5	5	2	2	1	924	10
215.09999999999999	0.5	3	1	-1	0	0	28
220.09999999999999	0.5	6	2	2	1	649	23
229.09999999999999	0.5	2	1	-1	0	0	16
238.0	0.5	4	2	2	1	683	4
247.0	0.5	6	2	2	1	725	27
259.10000000000002	0.5	6	2	2	1	697	21
266.10000000000002	0.5	1	1	-1	0	0	5
278.0	0.5	5	2	2	1	740	13
285.0	0.5	4	2	2	1	724	7
290.10000000000002	0.5	3	1	1	1	769	30
297.10000000000002	0.5	3	1	1	1	1169	31
306.10000000000002	0.5	5	2	2	1	794	16
317.0	0.5	2	1	1	1	1130	14
327.0	0.5	6	2	2	1	830	28
332.10000000000002	0.5	1	1	-1	0	0	8
342.10000000000002	0.5	6	2	2	1	667	30
352.10000000000002	0.5	2	1	1	1	859	15
364.0	0.5	4	2	2	1	671	8
374.0	0.5	6	2	2	1	687	31
386.0	0.5	4	2	2	1	778	5
392.10000000000002	0.5	3	1	1	1	757	20
402.10000000000002	0.5	5	2	2	1	943	14
412.0	0.5	3	1	-1	0	0	29
421.0	0.5	1	1	-1	0	0	6
427.0	0.5	5	2	2	1	815	15
435.10000000000002	0.5	2	1	1	1	1030	12
443.10000000000002	0.5	3	1	1	1	999	18
450.0	0.5	3	1	1	1	791	19
455.0	0.5	6	2	2	1	729	20
460.0	0.5	6	2	2	1	801	29
471.0	0.5	1	1	1	1	1123	3
480.10000000000002	0.5	6	2	2	1	854	19
490.0	0.5	4	2	2	1	736	6
501.0	0.5	6	2	2	1	858	18
512.10000000000002	0.5	2	1	1	1	999	11
519.10000000000002	0.5	5	2	2	1	758	12
525.10000000000002	0.5	4	2	2	1	633	3
537.0	0.5	5	2	2	1	762	11
